"customer_id","date","number_of_items","revenue"
92,19970101,2,35.98
92,19970416,1,17.36
93,19970101,9,NA
93,19970103,5,97.24
94,19970102,4,44.1
95,19970103,3,53.53
95,19970114,3,47.11
95,19970124,5,91.26
95,19970203,2,37.98
95,19970208,1,27.77
95,19970210,2,25.13
95,19970217,1,19.77
95,19970304,4,67.46
95,19970325,2,42.73
95,19970414,1,14.37
95,19970427,2,29.33
95,19970511,2,26.56
95,19970511,2,30.32
95,19970526,2,29.33
95,19970610,1,11.77
95,19970630,1,28.18
95,19970825,4,66.46
95,19970921,4,45.96
95,19971209,6,90.94
95,19971219,2,82.98
95,19980110,3,42.47
95,19980202,2,24.98
95,19980208,8,NA
95,19980224,5,NA
96,19970101,4,57.67
96,19970209,4,61.91
96,19970214,3,29.5
96,19970222,1,96.99
96,19970315,6,75.22
96,19970408,3,49.94
96,19970417,4,60.48
96,19970624,1,12.97
96,19970709,2,23.74
96,19970803,7,NA
96,19971030,4,NA
96,19971118,5,NA
96,19971207,1,NA
96,19980102,4,68.46
96,19980117,4,45.46
96,19980224,2,28.37
97,19970101,6,91.57
97,19971022,6,80.94
97,19980208,4,NA
98,19970101,2,46.14
98,19970523,2,30.32
99,19970101,2,25.94
99,19970119,2,28.34
99,19970424,2,28.93
99,19970726,4,52.1
99,19971011,2,24.98
99,19971113,3,40.97
99,19971216,1,65.99
100,19970101,1,13.77
100,19971211,1,12.49
101,19970118,2,23.54
102,19970101,1,14.37
102,19970210,1,25.99
102,19971128,1,11.49
103,19970217,4,51.08
103,19970406,2,29.75
104,19970101,1,14.96
105,19970101,3,35.31
106,19970101,2,31.52
106,19970119,2,29.92
106,19970626,2,30.72
106,19971104,2,27.98
106,19971230,1,36.99
106,19980131,3,44.97
107,19970101,1,21.99
108,19970101,1,17.96
109,19970112,5,71.89
109,19970202,7,NA
110,19970101,2,27.94
111,19970101,1,35.99
111,19970111,1,32.99
111,19970315,4,77.96
111,19970416,3,59.3
111,19970424,2,NA
111,19970623,1,91.92
111,19970722,3,47.08
111,19970726,2,71.96
111,19971025,3,78.47
111,19971206,3,83.47
111,19980118,4,84.46
111,19980215,4,NA
111,19980221,2,32.98
111,19980226,2,23.06
112,19970101,1,11.77
112,19970205,1,11.77
113,19970101,3,32.91
114,19970101,1,16.36
114,19970501,2,28.13
114,19970908,1,22.97
114,19980210,1,28.49
114,19980211,2,28.98
115,19970101,1,13.97
116,19970101,1,12.77
117,19970101,2,18.74
117,19970831,2,24.74
118,19970101,1,15.36
118,19970624,4,58.49
119,19970101,3,41.69
120,19970101,1,22.97
120,19970222,1,14.96
120,19970330,1,11.77
120,19970517,1,42.32
120,19971218,1,11.49
121,19970101,1,12.49
122,19970101,2,27.74
123,19970101,1,31.99
124,19970101,2,28.93
124,19970913,2,28.48
124,19971016,2,26.98
124,19971102,2,25.98
124,19971212,2,27.98
125,19970101,3,37.47
125,19970622,1,13.72
125,19971017,1,12.99
125,19971121,1,NA
125,19980209,1,11.49
126,19970103,1,NA
126,19971202,2,NA
127,19970101,3,39.71
128,19970101,3,20.37
128,19970109,1,12.49
128,19970207,2,22.75
128,19970803,1,12.25
129,19970101,1,12.49
130,19970101,1,14.37
130,19970125,1,NA
130,19970208,3,42.89
130,19970601,1,10.77
130,19970701,1,NA
130,19970813,1,14.96
130,19971108,1,12.99
131,19970101,2,30.32
132,19970101,3,53.69
132,19970227,5,54.65
132,19970401,2,27.13
132,19970616,4,57.45
132,19971006,5,67.95
133,19970101,1,18.99
133,19970127,1,14.37
133,19970201,1,NA
133,19970302,1,15.99
133,19970504,3,47.33
133,19970621,3,59.74
133,19971111,2,32.98
134,19970101,1,17.9
134,19970505,1,NA
134,19980108,1,21.49
135,19970101,3,41.7
135,19970101,3,42.69
136,19970101,2,44.98
136,19971126,2,36.98
137,19970101,2,27.73
138,19970101,1,14.99
139,19970106,1,11.77
140,19970101,1,28.7
140,19970503,1,15.36
141,19970101,1,19.97
141,19970316,2,19.54
141,19970416,1,22.77
141,19970827,2,44.34
141,19971024,1,NA
141,19980222,1,11.88
142,19970102,1,15.36
142,19970113,3,49.97
142,19970330,1,19.99
142,19980219,1,12.58
143,19970101,1,12.49
143,19970101,1,28.99
144,19970101,2,30.72
145,19970101,1,14.79
145,19970102,1,11.77
145,19970112,2,26.73
145,19970130,2,20.75
145,19970225,1,15.96
145,19970312,2,29.93
145,19970312,4,56.47
145,19970314,3,28.54
145,19970405,1,13.97
145,19970502,2,30.32
145,19970503,1,15.96
145,19970526,1,13.97
145,19970707,1,13.97
145,19970815,2,27.13
145,19970913,2,25.98
145,19971031,1,12.99
145,19971106,1,12.99
145,19971119,3,55.97
145,19980223,1,12.58
145,19980226,2,24.46
146,19970101,1,13.97
147,19970128,2,27.14
147,19970224,3,62.1
147,19970517,1,13.97
147,19970915,1,12.99
147,19970915,1,14.99
147,19971109,2,29.48
147,19971203,6,67.94
147,19971213,4,59.46
148,19970101,1,14.96
148,19970216,1,NA
148,19970602,1,NA
148,19971104,1,11.49
148,19971107,3,40.97
148,19980222,2,29.91
149,19970101,4,54.87
149,19970124,4,51.67
150,19970101,1,15.36
151,19970101,1,13.97
152,19970101,6,NA
152,19970106,2,21.54
152,19970126,2,23.54
152,19970203,2,28.93
152,19971028,3,43.97
152,19980118,2,23.98
153,19970101,1,NA
154,19970101,1,14.37
154,19970529,1,14.96
154,19970927,1,13.99
154,19971106,1,13.99
155,19970101,1,23.99
156,19970101,1,10.77
157,19970101,2,27.94
157,19970226,4,52.27
158,19970101,3,43.05
159,19970101,2,19.75
160,19970101,2,19.74
161,19970101,1,19.77
161,19970119,1,13.97
161,19970222,3,38.9
161,19970427,2,25.14
161,19970912,3,36.97
161,19971211,3,32.47
161,19971214,3,79.97
161,19971222,1,51.99
161,19980207,2,25.98
162,19970101,2,NA
163,19970101,2,25.74
164,19970105,2,25.73
164,19970207,3,38.5
164,19970314,2,29.33
164,19970606,2,27.94
164,19970715,1,14.96
164,19970725,3,42.7
164,19971216,3,41.97
165,19970101,1,NA
166,19970101,2,29.53
166,19971130,2,16.48
166,19971213,3,36.97
166,19971221,2,17.98
166,19971224,3,36.97
166,19980224,1,11.49
167,19970119,2,30.32
167,19970121,1,13.77
167,19970308,1,14.96
167,19970614,2,24.95
167,19971011,1,12.99
167,19971030,1,59.49
167,19971123,1,11.49
167,19971210,1,18.49
168,19970101,1,14.96
169,19970101,1,11.77
170,19970101,2,29.92
170,19980127,3,44.47
171,19970101,1,14.96
172,19970101,5,50.95
173,19970101,1,18.36
174,19970101,1,15.36
174,19970106,1,21.37
175,19970101,1,27.77
176,19970101,1,11.77
177,19970101,2,42.14
177,19970101,1,22.77
177,19970103,1,15.99
177,19970103,3,44.72
177,19970112,1,14.37
177,19970117,1,14.37
177,19970202,1,13.97
177,19970202,1,14.37
177,19970207,2,30.92
177,19970210,1,15.96
177,19970223,1,16.76
177,19970310,1,14.37
177,19970311,1,15.96
177,19970319,1,11.77
177,19970319,1,15.36
177,19970326,1,14.96
177,19970425,1,14.96
177,19970527,1,NA
177,19970608,1,11.77
177,19970622,1,14.96
177,19970718,1,14.96
177,19970803,1,14.96
177,19970905,1,14.96
177,19970905,1,15.36
177,19971026,1,15.49
177,19971101,1,14.99
177,19971119,1,17.99
177,19971202,1,31.49
177,19971205,1,22.49
177,19980103,1,11.49
177,19980204,1,11.49
178,19970101,1,12.49
179,19970101,1,16.36
179,19970215,1,14.96
179,19970308,2,24.94
179,19970723,1,21.97
179,19970728,1,12.25
179,19970803,1,14.96
179,19970803,2,16.76
179,19970817,1,NA
179,19970924,2,19.98
179,19970925,1,NA
179,19980224,1,11.88
180,19970101,2,25.88
180,19970828,3,36.71
181,19970101,3,43.7
182,19970101,1,26.77
182,19970927,1,12.99
182,19971215,3,41.97
183,19970101,1,NA
184,19970101,1,19.99
185,19970227,3,26.07
185,19970322,1,14.79
185,19970322,1,NA
186,19970102,1,16.96
186,19970917,1,17.49
187,19970101,2,31.32
187,19970202,1,NA
188,19970101,1,13.77
189,19970101,NA,NA
190,19970101,1,15.36
191,19970105,6,70.23
192,19970101,1,10.77
192,19970122,2,30.92
192,19970322,2,28.93
192,19970601,3,59.69
192,19970714,1,14.96
192,19970801,1,14.96
193,19970101,2,27.94
194,19970101,NA,NA
194,19970111,6,86.89
195,19970106,1,15.36
195,19971011,1,NA
195,19971024,2,28.98
195,19971025,1,11.49
195,19971029,1,22.49
195,19971101,1,11.49
195,19980120,1,14.49
196,19970101,2,25.54
197,19970101,1,12.49
197,19970302,1,12.49
197,19970505,1,28.99
198,19970101,1,15.76
199,19970101,1,14.37
200,19970101,3,39.93
200,19970122,2,44.36
201,19970101,1,14.96
201,19970405,1,14.37
201,19971018,1,NA
201,19980111,1,NA
202,19970101,8,NA
202,19970102,2,32.52
203,19970101,1,20.99
203,19970227,1,13.97
203,19970405,1,14.9
203,19970724,1,13.97
204,19970115,5,72.23
205,19970101,1,12.49
205,19970318,1,19.3
205,19970513,1,19.3
205,19971207,2,50.98
206,19970101,1,17.99
207,19970101,1,19.3
207,19970322,1,34.99
207,19971116,3,39.97
208,19970111,5,63.25
208,19980221,5,70.38
209,19970119,4,66.26
209,19970224,2,29.92
209,19970315,1,19.99
210,19970101,4,59.66
211,19970101,1,NA
212,19970101,1,14.37
213,19970101,1,10.77
213,19970119,1,11.77
214,19970101,1,11.77
214,19970103,3,44.73
214,19970108,1,14.79
214,19970125,2,23.54
214,19970407,3,46.51
214,19970522,3,40.91
214,19971021,3,39.97
215,19970101,1,11.77
216,19970101,1,13.97
217,19970101,2,57.54
217,19971209,8,NA
217,19980129,1,12.58
218,19970206,4,57.48
219,19970101,3,38.51
219,19970517,3,35.51
220,19970101,4,57.85
221,19970101,1,12.49
222,19970101,1,29.99
222,19970221,1,15.36
222,19971030,2,40.98
223,19970101,3,47.93
224,19970101,2,28.33
225,19970101,2,24.98
225,19970118,3,37.47
225,19970227,1,NA
225,19970416,1,12.49
225,19970801,1,23.88
226,19970102,2,35.93
226,19970223,2,26.73
226,19970420,2,23.76
226,19970719,2,24.74
226,19980215,1,15.49
227,19970101,1,34.97
227,19970117,1,13.77
227,19970308,1,14.96
227,19970511,3,86.51
227,19970824,1,14.37
228,19970101,2,25.98
228,19970206,2,23.54
228,19970211,1,13.97
228,19970212,1,27.77
228,19970228,1,NA
228,19970311,1,15.36
228,19970527,1,21.97
228,19970531,1,17.3
228,19970708,3,51.75
228,19970807,2,36.74
228,19970828,1,23.97
228,19971229,3,41.47
228,19980106,1,29.99
229,19970101,1,12.49
229,19970106,2,19.28
229,19970812,1,12.25
230,19970101,2,39.98
230,19970606,2,39.98
231,19970101,5,69.04
232,19970101,2,42.98
233,19970101,1,12.99
234,19970101,1,13.97
234,19970204,1,NA
235,19970101,1,NA
236,19970101,1,16.7
237,19970101,2,23.54
238,19970123,7,88.69
238,19970206,3,36.33
238,19970420,4,59.06
238,19970625,3,47.89
238,19970727,6,73.22
239,19970101,2,28.74
240,19970101,1,15.99
240,19970308,1,14.96
241,19970116,2,24.74
241,19970503,1,14.96
242,19970101,3,35.11
242,19970117,2,30.32
243,19970102,2,17.96
244,19970101,3,46.64
244,19970130,8,NA
244,19970204,3,35.31
244,19970222,3,41.69
244,19970328,4,56.47
244,19970329,2,30.96
244,19970402,3,41.9
244,19970420,3,44.88
244,19970727,NA,NA
244,19970811,4,59.65
244,19970811,1,46.77
244,19970817,3,32.31
244,19970823,7,96.97
244,19970910,5,65.95
244,19970914,1,12.99
244,19971120,9,NA
244,19980124,6,86.44
245,19970101,1,14.96
245,19970317,1,NA
245,19971022,1,12.99
245,19971203,2,30.48
245,19971203,1,10.49
245,19980121,4,57.85
246,19970102,1,12.97
246,19970117,3,37.51
246,19970216,2,28.34
246,19970218,3,37.51
246,19970423,7,85.79
246,19970508,4,52.87
246,19970618,2,31.32
246,19970724,1,29.37
246,19970905,2,30.92
246,19970928,2,30.98
246,19971019,4,74.46
246,19971022,3,41.47
246,19971204,1,13.99
246,19971214,4,57.46
246,19971223,2,27.48
246,19980203,2,26.87
247,19970203,1,19.3
247,19970726,1,23.88
247,19971216,1,19.99
248,19970102,1,14.37
249,19970102,2,37.35
249,19970125,2,23.94
249,19970219,1,30.99
250,19970102,2,28.74
250,19970708,3,42.09
250,19970823,2,33.74
251,19970102,3,40.26
252,19970102,6,NA
252,19970108,2,26.14
253,19970102,1,13.97
254,19970102,1,15.96
255,19970102,1,11.77
256,19970102,1,14.99
256,19970302,2,34.6
256,19970414,1,29.99
257,19970102,1,27.77
257,19971030,1,12.99
258,19970102,3,59.97
259,19970102,1,14.79
260,19970105,4,57.27
261,19970102,1,NA
262,19970102,3,48.95
263,19970102,1,14.79
264,19970102,1,16.99
265,19970102,4,NA
265,19970219,1,14.96
265,19970220,1,11.77
266,19970102,3,39.97
266,19970127,4,59.31
267,19970102,3,37.47
268,19970324,1,NA
269,19970215,1,29.99
270,19970102,7,89.77
270,19970124,NA,NA
271,19970102,1,12.77
272,19970102,1,NA
272,19970320,2,18.75
272,19970405,1,NA
273,19970102,1,NA
273,19970325,1,14.96
274,19970102,1,NA
275,19970102,6,60.47
276,19970102,2,21.73
276,19970117,2,37.54
276,19970708,3,45.09
277,19970102,1,17.9
278,19970102,1,23.97
279,19970102,1,17.3
279,19970117,1,66.3
279,19970814,2,56.21
280,19970102,NA,NA
280,19970201,6,88.32
280,19970428,1,12.49
281,19970102,1,14.7
282,19970102,4,53.88
283,19970102,3,37.71
284,19970102,1,20
285,19970102,1,25.99
286,19970102,2,41.36
286,19970113,3,45.91
287,19970102,1,13.97
288,19970102,1,14.96
288,19970502,1,13.97
289,19970102,1,10.77
289,19970208,1,NA
290,19970102,2,49.98
291,19970102,NA,NA
292,19970102,1,13.97
292,19970625,1,17.96
292,19970708,2,19.96
292,19980107,1,13.99
293,19970102,7,98.75
294,19970119,1,14.37
294,19971121,1,12.99
295,19970102,1,13.77
295,19970730,NA,NA
295,19970910,5,67.95
296,19970102,3,25.53
297,19970102,1,14.96
298,19970102,5,68.04
299,19970102,1,NA
299,19971106,1,13.99
300,19970325,1,13.97
300,19970818,1,13.97
300,19970923,2,25.98
300,19971021,2,24.98
300,19971118,1,13.99
300,19971203,3,39.47
300,19971212,3,39.97
300,19971218,1,13.99
300,19980108,2,27.48
300,19980124,3,25.47
300,19980213,3,40.47
300,19980222,1,NA
300,19980226,2,25.98
301,19970102,5,73.42
301,19970421,1,NA
301,19970731,3,41.5
301,19971111,3,48.47
302,19970102,2,27.13
303,19970102,1,10.77
304,19970102,2,25.74
304,19970515,1,14.96
304,19970519,1,15.19
304,19970523,2,32.92
304,19970527,2,24.53
305,19970102,5,70.83
305,19971105,6,81.44
306,19970102,1,30.99
307,19970227,2,28.45
308,19970102,1,12.77
309,19970316,3,52.5
310,19970107,3,39.32
311,19970102,5,69.25
312,19970102,2,87.74
312,19971221,1,14.99
313,19970102,7,NA
313,19970110,6,70
313,19970123,3,43.3
313,19970201,7,99.95
313,19970314,5,70.03
313,19970428,NA,NA
313,19970519,8,NA
313,19970708,NA,NA
313,19970722,NA,NA
313,19970803,NA,NA
313,19970901,NA,NA
313,19971010,9,NA
313,19971106,9,NA
313,19971118,8,97.92
313,19971126,5,68.45
314,19970102,1,NA
314,19970113,NA,NA
314,19970113,4,60.25
315,19970211,1,34.97
315,19970312,3,39.92
315,19970315,1,13.97
316,19970102,3,35.9
316,19970117,1,10.77
316,19970406,1,14.79
316,19970731,1,10.77
317,19970102,1,46.77
317,19971101,3,42.47
317,19971206,1,14.49
317,19980123,6,90.94
317,19980206,2,36.48
318,19970102,2,26.74
318,19970129,1,11.77
318,19980112,2,25.98
319,19970102,2,26.73
319,19970107,1,14.96
320,19970102,1,NA
321,19970102,6,NA
322,19970102,1,25.77
322,19970705,2,26.56
323,19970102,2,24.98
323,19970314,1,11.77
323,19970710,4,75.32
323,19970924,3,29.97
323,19971124,2,27.48
323,19980220,3,43.97
324,19970102,2,21.54
324,19970927,3,37.47
325,19970102,6,72.82
326,19970102,1,14.37
327,19970102,3,40.7
328,19970102,3,66.75
328,19970227,1,22.99
328,19970408,3,56.7
328,19970411,1,15.36
328,19970615,2,28.93
328,19970802,3,37.53
328,19970810,2,30.77
328,19970925,2,27.48
328,19971007,2,25.48
328,19971123,2,23.48
328,19980124,1,34.49
329,19970102,1,14.79
329,19970108,1,11.77
329,19970121,2,29.16
329,19980209,2,26.37
329,19980227,1,11.88
330,19970102,1,14.96
331,19970102,1,16.36
332,19970102,1,15.36
333,19970102,1,15.9
334,19970102,3,40.11
335,19970102,1,11.77
335,19970106,1,14.96
336,19970102,1,11.77
337,19970121,2,23.54
338,19970102,2,25.74
339,19970102,6,76.02
339,19970204,6,95.82
339,19970522,8,NA
339,19970925,3,40.97
339,19971121,5,84.45
340,19970102,5,46.3
341,19970102,2,26.14
341,19970727,4,80.46
342,19970102,1,17.9
343,19970102,5,87.65
343,19970118,1,30.77
343,19970419,2,23.54
343,19971102,3,35.47
344,19970102,3,40.7
344,19970103,5,65.04
344,19970123,4,55.07
344,19970206,3,41.3
344,19970211,1,15.96
344,19970410,4,53.46
344,19970512,3,41.69
344,19970627,2,27.74
344,19970721,1,12.77
344,19970812,1,13.97
344,19971105,2,24.98
344,19971224,3,38.97
344,19980205,3,35.95
344,19980212,2,29.07
344,19980223,2,18.98
345,19970102,1,11.77
345,19971031,2,78.48
346,19970102,2,26.76
347,19970102,1,15.36
348,19970102,1,29.99
348,19970726,2,67.53
349,19970102,3,44.88
350,19970102,1,46.37
351,19970102,1,NA
352,19970102,1,NA
352,19970205,1,11.77
353,19970102,2,28.76
353,19970212,2,40.47
354,19970102,1,14.99
355,19970102,3,43.51
355,19970107,3,39.3
356,19970102,2,28.74
357,19970102,3,37.91
357,19970205,2,53.54
358,19970102,2,36.48
358,19971023,1,11.49
359,19970102,5,76.45
360,19970102,1,14.96
360,19970108,1,14.96
360,19971126,2,25.98
360,19980212,1,11.49
361,19970102,1,13.97
361,19980222,2,23.76
362,19970102,1,10
362,19970102,1,13
362,19970102,1,15
362,19970102,1,20
363,19970102,1,16.99
363,19970103,1,19.97
364,19970106,1,29.97
365,19970102,2,29.58
365,19970502,1,10.78
365,19970510,2,27.13
365,19970515,1,17.36
365,19970515,2,30.32
365,19970628,3,46.34
365,19970927,2,25.98
365,19971129,2,31.98
365,19971217,1,12.99
365,19980215,1,12.99
366,19970102,1,15.36
367,19970102,1,44.77
368,19970102,4,60.64
368,19971006,6,74.94
369,19970102,1,NA
370,19970102,5,65.25
370,19970324,4,61.44
370,19970830,2,26.73
370,19971222,3,40.47
371,19970102,1,14.99
371,19971212,2,20.48
372,19970118,1,14.96
372,19970422,1,21.77
373,19970102,2,28.74
373,19970207,4,53.4
373,19970226,2,29.33
373,19970319,4,51.47
373,19970428,2,28.34
373,19970517,1,14.96
373,19970522,1,11.77
373,19970726,2,28.68
373,19980105,1,15.49
374,19970102,1,13.97
374,19970202,4,48.47
374,19980111,1,14.99
375,19970102,2,64.89
375,19970727,1,14.99
375,19970808,1,15.76
375,19970810,1,11.77
376,19970103,3,45.88
376,19970702,1,19.77
377,19970102,3,38.5
378,19970102,1,14.9
378,19970203,1,14.9
379,19970102,1,18.76
379,19970120,2,29.33
379,19970124,1,31.99
379,19970202,1,NA
380,19970104,4,47.08
381,19970102,1,20.99
381,19970519,1,12.77
381,19970709,1,16.65
382,19970102,1,12.49
383,19970102,2,30.72
384,19970102,1,11.97
385,19970102,1,NA
385,19970622,1,14.99
386,19970102,1,18.99
387,19970102,1,13.97
387,19970330,2,29.16
387,19970411,2,29.92
387,19970501,1,14.96
387,19970727,1,18.1
387,19970810,5,84.06
387,19970914,9,NA
387,19971123,NA,NA
387,19971126,2,20.98
387,19980212,4,66.14
387,19980220,3,50.65
388,19970102,1,10.77
389,19970102,2,NA
389,19970623,3,42.53
389,19970821,4,59.48
389,19970912,4,50.96
389,19980124,7,96.79
389,19980124,6,81.33
390,19970104,1,15.36
391,19970103,2,32
392,19970102,3,58.91
393,19970102,2,29.16
394,19970102,1,26.99
394,19970118,2,29.76
395,19970102,1,26.99
396,19970102,3,41.1
396,19970602,2,80.54
396,19970708,2,19.73
